851,511
534,440
347,832
784,392
182,596
638,774
369,383
227,263
844,777
439,433
422,291
545,338
929,92
321,41
489,190
747,936
586,241
689,554
900,252
730,491
120,36
387,70
208,939
112,163
452,73
96,464
331,735
201,511
963,989
255,702
568,342
575,696
864,457
229,420
212,331
101,417
513,891
548,138
181,450
154,798
145,15
676,692
822,589
166,265
121,435
382,12
134,775
14,99
282,360
760,612
588,411
68,885
833,850
550,518
227,287
697,776
829,905
846,279
972,729
432,200
314,228
847,774
804,729
55,398
923,678
588,575
270,157
288,627
230,582
754,342
795,290
323,807
896,38
885,936
407,899
562,689
264,220
7,506
52,486
676,295
385,647
917,854
233,486
261,772
891,453
969,17
575,994
231,123
298,395
398,477
141,749
267,116
960,367
294,634
149,425
571,872
130,906
21,945
68,226
823,342
